ctit083
	Adding nVidia Cuda Toolkit 10.1
Gpu devices                 : 0
Starting worker: 
/tmp/slurmd/job220191/slurm_script: line 20: ./gpu_burn: No such file or directory
Train Set:  160
Validation Set:  40
Test Set:  100
cuda
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [1/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:07<10:10,  7.73s/it]
  2%|▎         | 2/80 [00:12<07:46,  5.98s/it]
  4%|▍         | 3/80 [00:17<06:58,  5.44s/it]
  5%|▌         | 4/80 [00:22<06:36,  5.22s/it]
  6%|▋         | 5/80 [00:26<06:18,  5.04s/it]
  8%|▊         | 6/80 [00:31<06:08,  4.98s/it]
  9%|▉         | 7/80 [00:36<06:01,  4.95s/it]
 10%|█         | 8/80 [00:41<05:52,  4.89s/it]
 11%|█▏        | 9/80 [00:46<05:49,  4.93s/it]
 12%|█▎        | 10/80 [00:51<05:47,  4.96s/it]
 14%|█▍        | 11/80 [00:56<05:49,  5.07s/it]
 15%|█▌        | 12/80 [01:01<05:41,  5.02s/it]
 57%|█████▊    | 46/80 [03:38<02:39,  4.69s/it]
 59%|█████▉    | 47/80 [03:42<02:34,  4.67s/it]
 60%|██████    | 48/80 [03:47<02:29,  4.67s/it]
 61%|██████▏   | 49/80 [03:52<02:25,  4.69s/it]
 62%|██████▎   | 50/80 [03:57<02:26,  4.88s/it]
 64%|██████▍   | 51/80 [04:02<02:21,  4.87s/it]
 65%|██████▌   | 52/80 [04:06<02:15,  4.84s/it]
 66%|██████▋   | 53/80 [04:11<02:08,  4.77s/it]
 68%|██████▊   | 54/80 [04:16<02:03,  4.76s/it]
 69%|██████▉   | 55/80 [04:20<01:58,  4.72s/it]
 70%|███████   | 56/80 [04:25<01:53,  4.74s/it]
 71%|███████▏  | 57/80 [04:30<01:48,  4.73s/it]
 72%|███████▎  | 58/80 [04:35<01:44,  4.74s/it]
 74%|███████▍  | 59/80 [04:40<01:40,  4.78s/it]
 75%|███████▌  | 60/80 [04:44<01:35,  4.75s/it]
 76%|███████▋  | 61/80 [04:49<01:29,  4.72s/it]
 78%|███████▊  | 62/80 [04:54<01:24,  4.70s/it]
 79%|███████▉  | 63/80 [04:58<01:19,  4.70s/it]
 80%|████████  | 64/80 [05:03<01:15,  4.70s/it]
 81%|████████▏ | 65/80 [05:08<01:10,  4.69s/it]
 82%|████████▎ | 66/80 [05:12<01:05,  4.70s/it]
 84%|████████▍ | 67/80 [05:17<01:01,  4.70s/it]
 85%|████████▌ | 68/80 [05:22<00:55,  4.64s/it]
 86%|████████▋ | 69/80 [05:26<00:51,  4.66s/it]
 88%|████████▊ | 70/80 [05:31<00:46,  4.66s/it]
 89%|████████▉ | 71/80 [05:36<00:42,  4.68s/it]
 90%|█████████ | 72/80 [05:41<00:37,  4.74s/it]
 91%|█████████▏| 73/80 [05:45<00:33,  4.75s/it]
 92%|█████████▎| 74/80 [05:50<00:28,  4.73s/it]
 94%|█████████▍| 75/80 [05:55<00:23,  4.77s/it]
 95%|█████████▌| 76/80 [06:00<00:18,  4.73s/it]
 96%|█████████▋| 77/80 [06:04<00:14,  4.75s/it]
 98%|█████████▊| 78/80 [06:09<00:09,  4.72s/it]
 99%|█████████▉| 79/80 [06:14<00:04,  4.74s/it]
100%|██████████| 80/80 [06:19<00:00,  4.89s/it]
100%|██████████| 80/80 [06:19<00:00,  4.74s/it]
Epoch [2/20], Train Loss: 0.2551
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:27,  4.61s/it]
 10%|█         | 2/20 [00:09<01:23,  4.62s/it]
 15%|█▌        | 3/20 [00:13<01:19,  4.65s/it]
 20%|██        | 4/20 [00:18<01:14,  4.65s/it]
 25%|██▌       | 5/20 [00:23<01:09,  4.66s/it]
 30%|███       | 6/20 [00:27<01:05,  4.68s/it]
 35%|███▌      | 7/20 [00:32<01:00,  4.67s/it]
 40%|████      | 8/20 [00:37<00:56,  4.67s/it]
 45%|████▌     | 9/20 [00:42<00:51,  4.72s/it]
 50%|█████     | 10/20 [00:46<00:46,  4.69s/it]
 55%|█████▌    | 11/20 [00:51<00:42,  4.73s/it]
 60%|██████    | 12/20 [00:56<00:37,  4.71s/it]
 65%|██████▌   | 13/20 [01:00<00:33,  4.72s/it]
 70%|███████   | 14/20 [01:05<00:28,  4.74s/it]
 75%|███████▌  | 15/20 [01:10<00:23,  4.73s/it]
 80%|████████  | 16/20 [01:15<00:19,  4.84s/it]
 85%|████████▌ | 17/20 [01:20<00:14,  4.83s/it]
 90%|█████████ | 18/20 [01:25<00:09,  4.80s/it]
 95%|█████████▌| 19/20 [01:29<00:04,  4.75s/it]
100%|██████████| 20/20 [01:34<00:00,  4.72s/it]
100%|██████████| 20/20 [01:34<00:00,  4.72s/it]
Epoch [2/20], Validation Loss: 0.2601
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [3/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:04<06:11,  4.71s/it]
  2%|▎         | 2/80 [00:09<06:06,  4.70s/it]
  4%|▍         | 3/80 [00:14<06:02,  4.71s/it]
  5%|▌         | 4/80 [00:18<06:01,  4.75s/it]
  6%|▋         | 5/80 [00:23<05:55,  4.74s/it]
  8%|▊         | 6/80 [00:28<05:47,  4.69s/it]
  9%|▉         | 7/80 [00:32<05:42,  4.69s/it]
 10%|█         | 8/80 [00:37<05:38,  4.70s/it]
 11%|█▏        | 9/80 [00:42<05:33,  4.70s/it]
 12%|█▎        | 10/80 [00:47<05:30,  4.72s/it]
 14%|█▍        | 11/80 [00:51<05:28,  4.76s/it]
 15%|█▌        | 12/80 [00:56<05:21,  4.72s/it]
 16%|█▋        | 13/80 [01:01<05:16,  4.73s/it]
 18%|█▊        | 14/80 [01:06<05:12,  4.74s/it]
 19%|█▉        | 15/80 [01:10<05:08,  4.75s/it]
 20%|██        | 16/80 [01:15<05:03,  4.74s/it]
 21%|██▏       | 17/80 [01:20<04:59,  4.75s/it]
 22%|██▎       | 18/80 [01:25<04:54,  4.75s/it]
 24%|██▍       | 19/80 [01:29<04:48,  4.73s/it]
 25%|██▌       | 20/80 [01:34<04:42,  4.71s/it]
 26%|██▋       | 21/80 [01:39<04:39,  4.73s/it]
 28%|██▊       | 22/80 [01:44<04:34,  4.74s/it]
 29%|██▉       | 23/80 [01:48<04:30,  4.75s/it]
 30%|███       | 24/80 [01:53<04:25,  4.74s/it]
 31%|███▏      | 25/80 [01:58<04:19,  4.73s/it]
 32%|███▎      | 26/80 [02:02<04:15,  4.73s/it]
 34%|███▍      | 27/80 [02:07<04:11,  4.75s/it]
 35%|███▌      | 28/80 [02:12<04:05,  4.72s/it]
 36%|███▋      | 29/80 [02:17<04:02,  4.76s/it]
 38%|███▊      | 30/80 [02:22<03:59,  4.78s/it]
 39%|███▉      | 31/80 [02:26<03:53,  4.76s/it]
 40%|████      | 32/80 [02:31<03:50,  4.81s/it]
 41%|████▏     | 33/80 [02:36<03:45,  4.80s/it]
 42%|████▎     | 34/80 [02:40<03:35,  4.68s/it]
 44%|████▍     | 35/80 [02:45<03:28,  4.62s/it]
 45%|████▌     | 36/80 [02:49<03:19,  4.54s/it]
 46%|████▋     | 37/80 [02:54<03:14,  4.52s/it]
 48%|████▊     | 38/80 [02:59<03:16,  4.67s/it]
 49%|████▉     | 39/80 [03:04<03:18,  4.84s/it]
 50%|█████     | 40/80 [03:09<03:12,  4.80s/it]
 51%|█████▏    | 41/80 [03:13<03:05,  4.75s/it]
 52%|█████▎    | 42/80 [03:18<02:59,  4.72s/it]
 54%|█████▍    | 43/80 [03:23<02:55,  4.73s/it]
 55%|█████▌    | 44/80 [03:27<02:48,  4.68s/it]
 56%|█████▋    | 45/80 [03:32<02:45,  4.72s/it]
 57%|█████▊    | 46/80 [03:37<02:39,  4.70s/it]
 59%|█████▉    | 47/80 [03:41<02:33,  4.66s/it]
 60%|██████    | 48/80 [03:46<02:29,  4.67s/it]
 61%|██████▏   | 49/80 [03:51<02:25,  4.70s/it]
 62%|██████▎   | 50/80 [03:55<02:21,  4.71s/it]
 64%|██████▍   | 51/80 [04:00<02:15,  4.69s/it]
 65%|██████▌   | 52/80 [04:05<02:11,  4.68s/it]
 66%|██████▋   | 53/80 [04:10<02:06,  4.70s/it]
 68%|██████▊   | 54/80 [04:14<02:03,  4.73s/it]
 69%|██████▉   | 55/80 [04:19<01:57,  4.72s/it]
 70%|███████   | 56/80 [04:24<01:53,  4.72s/it]
 71%|███████▏  | 57/80 [04:28<01:48,  4.71s/it]
 72%|███████▎  | 58/80 [04:33<01:43,  4.71s/it]
 74%|███████▍  | 59/80 [04:38<01:38,  4.70s/it]
 75%|███████▌  | 60/80 [04:43<01:34,  4.71s/it]
 76%|███████▋  | 61/80 [04:47<01:29,  4.71s/it]
 78%|███████▊  | 62/80 [04:52<01:24,  4.67s/it]
 79%|███████▉  | 63/80 [04:57<01:20,  4.71s/it]
 80%|████████  | 64/80 [05:01<01:15,  4.73s/it]
 81%|████████▏ | 65/80 [05:06<01:10,  4.72s/it]
 82%|████████▎ | 66/80 [05:11<01:06,  4.74s/it]
 84%|████████▍ | 67/80 [05:15<01:00,  4.68s/it]
 85%|████████▌ | 68/80 [05:20<00:56,  4.75s/it]
 86%|████████▋ | 69/80 [05:25<00:51,  4.64s/it]
 88%|████████▊ | 70/80 [05:30<00:47,  4.73s/it]
 89%|████████▉ | 71/80 [05:34<00:42,  4.75s/it]
 90%|█████████ | 72/80 [05:39<00:37,  4.70s/it]
 91%|█████████▏| 73/80 [05:44<00:32,  4.69s/it]
 92%|█████████▎| 74/80 [05:48<00:28,  4.70s/it]
 94%|█████████▍| 75/80 [05:53<00:23,  4.72s/it]
 95%|█████████▌| 76/80 [05:59<00:20,  5.06s/it]
 96%|█████████▋| 77/80 [06:04<00:14,  4.98s/it]
 98%|█████████▊| 78/80 [06:09<00:09,  4.89s/it]
 99%|█████████▉| 79/80 [06:13<00:04,  4.90s/it]
100%|██████████| 80/80 [06:18<00:00,  4.83s/it]
100%|██████████| 80/80 [06:18<00:00,  4.73s/it]
Epoch [3/20], Train Loss: 0.2548
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:28,  4.66s/it]
 10%|█         | 2/20 [00:09<01:23,  4.66s/it]
 15%|█▌        | 3/20 [00:13<01:19,  4.65s/it]
 20%|██        | 4/20 [00:18<01:14,  4.67s/it]
 25%|██▌       | 5/20 [00:23<01:09,  4.66s/it]
 30%|███       | 6/20 [00:28<01:05,  4.70s/it]
 35%|███▌      | 7/20 [00:32<01:01,  4.69s/it]
 40%|████      | 8/20 [00:37<00:56,  4.72s/it]
 45%|████▌     | 9/20 [00:42<00:51,  4.69s/it]
 50%|█████     | 10/20 [00:46<00:46,  4.67s/it]
 55%|█████▌    | 11/20 [00:51<00:42,  4.69s/it]
 60%|██████    | 12/20 [00:56<00:37,  4.68s/it]
 65%|██████▌   | 13/20 [01:00<00:32,  4.71s/it]
 70%|███████   | 14/20 [01:05<00:28,  4.70s/it]
 75%|███████▌  | 15/20 [01:10<00:23,  4.73s/it]
 80%|████████  | 16/20 [01:15<00:18,  4.73s/it]
 85%|████████▌ | 17/20 [01:19<00:14,  4.71s/it]
 90%|█████████ | 18/20 [01:24<00:09,  4.72s/it]
 95%|█████████▌| 19/20 [01:29<00:04,  4.73s/it]
100%|██████████| 20/20 [01:33<00:00,  4.70s/it]
100%|██████████| 20/20 [01:33<00:00,  4.70s/it]
Epoch [3/20], Validation Loss: 0.2562
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [4/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:04<06:22,  4.84s/it]
  2%|▎         | 2/80 [00:09<06:16,  4.82s/it]
  4%|▍         | 3/80 [00:14<06:07,  4.78s/it]
  5%|▌         | 4/80 [00:19<06:05,  4.81s/it]
  6%|▋         | 5/80 [00:23<05:57,  4.77s/it]
  8%|▊         | 6/80 [00:28<05:49,  4.72s/it]
  9%|▉         | 7/80 [00:33<05:43,  4.71s/it]
 10%|█         | 8/80 [00:37<05:37,  4.68s/it]
 11%|█▏        | 9/80 [00:43<05:46,  4.88s/it]
 12%|█▎        | 10/80 [00:47<05:40,  4.86s/it]
 14%|█▍        | 11/80 [00:52<05:29,  4.78s/it]
 15%|█▌        | 12/80 [00:57<05:22,  4.75s/it]
 16%|█▋        | 13/80 [01:02<05:18,  4.75s/it]
 18%|█▊        | 14/80 [01:06<05:12,  4.73s/it]
 19%|█▉        | 15/80 [01:11<05:07,  4.73s/it]
 20%|██        | 16/80 [01:16<05:04,  4.76s/it]
 21%|██▏       | 17/80 [01:20<04:58,  4.73s/it]
 22%|██▎       | 18/80 [01:25<04:57,  4.81s/it]
 24%|██▍       | 19/80 [01:30<04:52,  4.79s/it]
 25%|██▌       | 20/80 [01:35<04:48,  4.80s/it]
 26%|██▋       | 21/80 [01:40<04:42,  4.80s/it]
 28%|██▊       | 22/80 [01:44<04:34,  4.73s/it]
 29%|██▉       | 23/80 [01:49<04:28,  4.70s/it]
 30%|███       | 24/80 [01:54<04:23,  4.70s/it]
 31%|███▏      | 25/80 [01:58<04:19,  4.71s/it]
 32%|███▎      | 26/80 [02:03<04:14,  4.71s/it]
 34%|███▍      | 27/80 [02:08<04:08,  4.68s/it]
 35%|███▌      | 28/80 [02:12<04:03,  4.68s/it]
 36%|███▋      | 29/80 [02:17<04:01,  4.73s/it]
 38%|███▊      | 30/80 [02:22<03:56,  4.72s/it]
 39%|███▉      | 31/80 [02:27<03:50,  4.70s/it]
 40%|████      | 32/80 [02:31<03:44,  4.68s/it]
 41%|████▏     | 33/80 [02:36<03:41,  4.71s/it]
 42%|████▎     | 34/80 [02:41<03:34,  4.67s/it]
 44%|████▍     | 35/80 [02:45<03:29,  4.66s/it]
 45%|████▌     | 36/80 [02:50<03:24,  4.66s/it]
 46%|████▋     | 37/80 [02:55<03:22,  4.72s/it]
 48%|████▊     | 38/80 [02:59<03:17,  4.71s/it]
 49%|████▉     | 39/80 [03:04<03:14,  4.75s/it]
 50%|█████     | 40/80 [03:09<03:11,  4.79s/it]
 51%|█████▏    | 41/80 [03:14<03:06,  4.78s/it]
 52%|█████▎    | 42/80 [03:19<02:59,  4.73s/it]
 54%|█████▍    | 43/80 [03:23<02:54,  4.72s/it]
 55%|█████▌    | 44/80 [03:28<02:48,  4.68s/it]
 56%|█████▋    | 45/80 [03:32<02:43,  4.67s/it]
 57%|█████▊    | 46/80 [03:37<02:39,  4.69s/it]
 59%|█████▉    | 47/80 [03:42<02:34,  4.69s/it]
 60%|██████    | 48/80 [03:47<02:30,  4.69s/it]
 61%|██████▏   | 49/80 [03:52<02:30,  4.85s/it]
 62%|██████▎   | 50/80 [03:56<02:23,  4.79s/it]
 64%|██████▍   | 51/80 [04:01<02:18,  4.79s/it]
 65%|██████▌   | 52/80 [04:06<02:13,  4.76s/it]
 66%|██████▋   | 53/80 [04:11<02:08,  4.75s/it]
 68%|██████▊   | 54/80 [04:15<02:03,  4.75s/it]
 69%|██████▉   | 55/80 [04:20<01:58,  4.74s/it]
 70%|███████   | 56/80 [04:25<01:52,  4.70s/it]
 71%|███████▏  | 57/80 [04:29<01:48,  4.71s/it]
 72%|███████▎  | 58/80 [04:34<01:43,  4.68s/it]
 74%|███████▍  | 59/80 [04:39<01:38,  4.68s/it]
 75%|███████▌  | 60/80 [04:43<01:33,  4.65s/it]
 76%|███████▋  | 61/80 [04:48<01:29,  4.69s/it]
 78%|███████▊  | 62/80 [04:53<01:24,  4.68s/it]
 79%|███████▉  | 63/80 [04:57<01:19,  4.69s/it]
 80%|████████  | 64/80 [05:02<01:15,  4.71s/it]
 81%|████████▏ | 65/80 [05:07<01:11,  4.76s/it]
 82%|████████▎ | 66/80 [05:12<01:05,  4.71s/it]
 84%|████████▍ | 67/80 [05:16<01:00,  4.68s/it]
 85%|████████▌ | 68/80 [05:21<00:56,  4.70s/it]
 86%|████████▋ | 69/80 [05:26<00:51,  4.72s/it]
 88%|████████▊ | 70/80 [05:31<00:47,  4.72s/it]
 89%|████████▉ | 71/80 [05:35<00:42,  4.67s/it]
 90%|█████████ | 72/80 [05:40<00:36,  4.59s/it]
 91%|█████████▏| 73/80 [05:44<00:31,  4.53s/it]
 92%|█████████▎| 74/80 [05:48<00:26,  4.49s/it]
 94%|█████████▍| 75/80 [05:53<00:22,  4.46s/it]
 95%|█████████▌| 76/80 [05:57<00:17,  4.43s/it]
 96%|█████████▋| 77/80 [06:02<00:13,  4.49s/it]
 98%|█████████▊| 78/80 [06:07<00:09,  4.62s/it]
 99%|█████████▉| 79/80 [06:11<00:04,  4.69s/it]
100%|██████████| 80/80 [06:16<00:00,  4.69s/it]
100%|██████████| 80/80 [06:16<00:00,  4.71s/it]
Epoch [4/20], Train Loss: 0.2549
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:29,  4.69s/it]
 10%|█         | 2/20 [00:09<01:25,  4.77s/it]
 15%|█▌        | 3/20 [00:14<01:21,  4.78s/it]
 20%|██        | 4/20 [00:18<01:15,  4.74s/it]
 25%|██▌       | 5/20 [00:23<01:10,  4.69s/it]
 30%|███       | 6/20 [00:28<01:05,  4.68s/it]
 35%|███▌      | 7/20 [00:32<01:00,  4.68s/it]
 40%|████      | 8/20 [00:37<00:56,  4.75s/it]
 45%|████▌     | 9/20 [00:42<00:51,  4.72s/it]
